#AA     Mass    Charge  Sigma   Lambda  
ARG 156.19 1 6.56 0.7307624767517166
ASP 115.09 -1 5.58 0.0416040480605567
ASN 114.1 0 5.68 0.4255859009787713
GLU 129.11 -1 5.92 0.0006935460962935
LYS 128.17 1 6.36 0.1790211738990582
HIS 137.14 0 6.08 0.4663667290557992
GLN 128.13 0 6.02 0.3934318551056041
SER 87.08 0 5.18 0.4625416811611541
CYS 103.14 0 5.48 0.5615435099141777
GLY 57.05 0 4.5 0.7058843733666401
THR 101.11 0 5.62 0.3713162976273964
ALA 71.07 0 5.04 0.2743297969040348
MET 131.2 0 6.18 0.5308481134337497
TYR 163.18 0 6.46 0.9774611449343455
VAL 99.13 0 5.86 0.2083769608174481
TRP 186.22 0 6.78 0.9893764740371644
LEU 113.16 0 6.18 0.6440005007782226
ILE 113.16 0 6.18 0.5423623610671892
PRO 97.12 0 5.56 0.3593126576364644
PHE 147.18 0 6.36 0.8672358982062975
